Unnamed: 0,price,S(m2),bedrooms,WCs,Address,Direction,news_code,date,content,title,link,Keyword_1,Keyword_2,Keyword_3
1745,"
														Thỏa thuận																											",,,,,,80765.0, 00:00 23/04/2022,bán đất giá rẻ khu vực xung quanh vs giá tỷ dt m2 sẵn m2 thổ cư mặt tiền đường đường ô tô biệt suối bao quanh view săn mây có dân cư xung quanh thích hợp đầu tư dưỡng pháp lý rõ ràng sổ,"['bán', 'đất', 'nam', 'ban', 'chợ', 'thăng long giá', 'rẻ']",https://batdongsan.vn/ban-dat-nam-ban-gan-cho-thang-long-gia-re-r80765,"['quanh', 'xung', 'săn', 'mây', 'vs', 'suối', 'ràng', 'cư', 'thổ', 'rẻ']","['view săn', 'quanh vs', 'quanh view', 'mây dân', 'dt sẵn', 'biệt suối', 'vs giá', 'tỷ dt', 'tư dưỡng', 'tô biệt']","['đường đường tô', 'xung quanh vs', 'view săn mây', 'tỷ dt sẵn', 'tư dưỡng pháp', 'tô biệt suối', 'săn mây dân', 'quanh vs giá', 'quanh view săn', 'mây dân cư']"
1829,"
														90 triệu														/tháng													",160.0,,," Đường Trần Não, Phường Bình An, Quận 2, Hồ Chí Minh",,76327.0, 00:01 09/03/2022,cho thuê villa sàn trống văn phòng hình kết cấu hầm thang máy diện tích sử dụng m2 diện tích xây dựng 8x20 hầm lầu vị trí đắc địa bậc chủ thiện chí thuê lâu dài vui lòng liên hệ nguyễn giang văn phòng thuê xong . 0901387866,"['toà', 'villa', 'sàn', 'trống', 'suốt', 'hầm', 'thang máy', 'trần não', 'thuê', 'giá', 'rẻ', 'tr', 'lh', 'nguyễn giang']",https://batdongsan.vn/toa-villa-san-trong-suot-ham-thang-may-tran-nao-cho-thue-gia-re-chi-90tr-lh-nguyen-giang-r76327,"['hầm', 'xong', 'thuê', 'bậc', 'giang', 'văn', 'đắc', 'trống', 'villa', 'phòng']","['villa sàn', 'hình kết', 'bậc chủ', 'địa bậc', 'trống văn', 'thuê xong', 'phòng hình', 'giang văn', 'thuê villa', 'nguyễn giang']","['địa bậc chủ', 'văn phòng hình', 'villa sàn trống', 'thuê villa sàn', 'sàn trống văn', 'phòng thuê xong', 'phòng hình kết', 'nguyễn giang văn', 'hầm lầu vị', 'hình kết cấu']"
1835,"
														70 triệu														/tháng													",77.0,,," Dự án Panorama Nha Trang, Thành phố Nha Trang, Khánh Hòa",,70938.0, 00:02 06/03/2022,"chính chủ gởi thuê shophouse panorama số nguyễn thị minh khai nha trang vị trí đắc địa trung tâm tp nha trang nhà panorama toạ lạc mặt tiền đường nguyễn thị minh khai hùng vương phố đi tuyến đường huyết phố tây nt phực hợp tmtm nhà hàng condotel hồ bơi gym ... dự án đẳng cấp phố biển tiện ích khu vực trung tâm mua bán giao dịch sầm uất có thể thuê showroom văn phòng bds cửa hàng nhà hàng spa coffee siêu thị mini ... căn shophouse mặt tiền đường hùng vương dt 77 m2 lầu . 2 wc . dt sàn m2 7,1 mx10 . tầng lót sàn . giá triệu căn shophouse mặt tiền khu phố đi dt m2 lầu wc . dt sàn m2 7,1 mx10 giá triệu liên hệ ms hằng trực tiếp chốt shophouse giá thị trường 0972.331.587","['cho thuê', 'shophouse', 'panorama nha trang', 'giá', 'thị trường']",https://batdongsan.vn/cho-thue-shophouse-panorama-nha-trang-gia-tot-nhat-thi-truong-r70938,"['panorama', 'dt', 'shophouse', 'mx', 'nha', 'vương', 'phố', 'thị', 'sàn', 'hùng']","['sàn mx', 'wc dt', 'lầu wc', 'dt sàn', 'thị minh', 'dt lầu', 'shophouse mặt', 'minh khai', 'nha trang', 'hùng vương']","['wc dt sàn', 'lầu wc dt', 'dt sàn mx', 'dt lầu wc', 'shophouse mặt tiền', 'thị minh khai', 'nguyễn thị minh', 'đẳng phố biển', 'đường huyết phố', 'đi dt lầu']"
69,"
														8.6 tỷ																											",90.0,4.0,4.0," Dự án KDC Nam Long, Đường Đỗ Xuân Hợp, Phường Phước Long B, Quận 9, Hồ Chí Minh",,74187.0, 00:04 08/03/2022,"bán phố nam long quận kế dự án siêu khủng global city pháp lý sổ hồng . dt 4,5 2,5 lầu sổ hồng tình trạng 2,5 lầu hoàn thiện . mặt tiền đường thông thoáng . giá 8,6 tỷ . cảm ơn anh chị","['bán', 'nam long', 'quận', 'liền', 'kề', 'gloal city', 'hoàn thiện', 'nội thất', 'gỗ', 'tự nhiên', 'đẹp', '. lh']",https://batdongsan.vn/ban-nha-nam-long-quan-9-lien-ke-gloal-city-hoan-thien-noi-that-go-tu-nhien-dep-lh-0931000018-r74187,"['global', 'hồng', 'lầu', 'khủng', 'sổ', 'trạng', 'tình', 'city', 'ơn', 'cảm']","['trạng lầu', 'lầu sổ', 'long kế', 'khủng global', 'hồng tình', 'hồng dt', 'city pháp', 'án siêu', 'tỷ cảm', 'phố nam']","['án siêu khủng', 'tình trạng lầu', 'trạng lầu hoàn', 'thông thoáng giá', 'sổ hồng tình', 'sổ hồng dt', 'siêu khủng global', 'phố nam long', 'nam long kế', 'lầu sổ hồng']"
959,"
														35 triệu														/tháng													",70.0,,," Vinhomes Ocean Park Gia Lâm, Gia Lâm, Hà Nội",,64059.0, 00:06 03/03/2022,"chính chủ thuê shophouse hải âu đối diện trung tâm thương mại vicom lh diện tích m2 xây tầng hoàn thiện nhà tinh hoàn thiện đẹp thang máy nhìn đường xe thoải mái thuận tiện văn phòng công ty thương mại dịch vụ hải âu 09,11,16 khu phố đi khu phố nhật mặt tiền thuận tiện kinh doanh buôn bán . giá tr","['chính', 'chủ', 'thuê', 'khu', 'hải âu', 'vinhome ocean park 70', 'tầng', 'thang máy', '35t lh']",https://batdongsan.vn/chinh-chu-cho-thue-khu-hai-au-vinhome-ocean-park-70m-5-tang-co-thang-may-35t-lh-0901752555-r64059,"['âu', 'hải', 'vicom', 'mại', 'thiện', 'hoàn', 'tinh', 'thương', 'thuận', 'buôn']","['hải âu', 'khu phố', 'âu đối', 'vicom lh', 'thiện tinh', 'mại vicom', 'âu khu', 'vụ hải', 'tinh hoàn', 'phố nhật']","['âu đối diện', 'vicom lh diện', 'ty thương mại', 'thương mại vicom', 'thiện tinh hoàn', 'mại vicom lh', 'máy đường xe', 'hải âu đối', 'hoàn thiện tinh', 'công ty thương']"
1410,"
														35 triệu														/tháng													",120.0,,," Dự án Vinhomes Smart City, Đường Đại lộ Thăng Long, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",,66562.0, 00:11 04/03/2022,cho thuê shop mặt sảnh vinhomes smart city diện tích m2 giá tr . - phù hợp loại hình kinh doanh siêu thị quán cửa hàng thời trang văn phòng ... ngoài ra căn shop thuê vị trí đẹp giá anh chị vui lòng liên hệ hiếu sđt zalo 0931.226.998,"['cho thuê', 'shop', 'mặt', 'sảnh', 'vinhomes smart city', 'm2', 'giá', 'tr', 'căn hộ', 'kinh doanh', 'đỉnh']",https://batdongsan.vn/cho-thue-shop-mat-sanh-vinhomes-smart-city-120m2-gia-35tr-7300-can-ho-kinh-doanh-dinh-r66562,"['shop', 'hiếu', 'smart', 'sđt', 'sảnh', 'vinhomes', 'city', 'quán', 'thời', 'trang']","['trang văn', 'sảnh vinhomes', 'giá vui', 'shop thuê', 'quán cửa', 'hiếu sđt', 'shop mặt', 'tr phù', 'thị quán', 'city diện']","['đẹp giá vui', 'trang văn phòng', 'thời trang văn', 'thị quán cửa', 'sảnh vinhomes smart', 'shop thuê vị', 'shop mặt sảnh', 'phòng shop thuê', 'mặt sảnh vinhomes', 'giá vui liên']"
1997,"
														15 triệu														/tháng													",180.0,,," Dự án 9 View Apartment, Đường Tăng Nhơn Phú, Phường Phước Long B, Quận 9, Hồ Chí Minh",,62076.0, 00:14 02/03/2022,chuyên thuê shophouse dự án view đường tăng nhơn phú quận . giá triệu m2 lầu góc vị trí cực đẹp thuận tiện kinh doanh liên hệ 0909.333.960 duyên,"['chuyên', 'thuê', 'shophouse', 'view', 'đường', 'tăng', 'nhơn phú', 'tr', 'th', 'm2', 'lầu']",https://batdongsan.vn/chuyen-cho-thue-shophouse-9-view-duong-tang-nhon-phu-15-trth-180m2-1-tret-1-lau-0909333960-r62076,"['duyên', 'nhơn', 'chuyên', 'góc', 'cực', 'view', 'shophouse', 'phú', 'lầu', 'án']","['đường nhơn', 'án view', 'triệu lầu', 'nhơn phú', 'lầu góc', 'hệ duyên', 'góc vị', 'view đường', 'doanh liên', 'đẹp thuận']","['đường nhơn phú', 'án view đường', 'view đường nhơn', 'triệu lầu góc', 'nhơn phú giá', 'lầu góc vị', 'giá triệu lầu', 'dự án view', 'cực đẹp thuận', 'phú giá triệu']"
802,"
														9.5 triệu														/tháng													",56.0,1.0,1.0," Dự án Jamona City, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",,74236.0, 00:17 08/03/2022,"thông tin mô tả cho thuê shophouse m2 . 1.04 jamona city đường đào trí p. phú thuận quận shop diện tích m2 7x8 mặt bằng tầng rio salon cũ mặt bằng hiện hữu khu đông dân cư đông đúc hồ điều tiết mặt view cầu phú mỹ . giá thuê 9,5 triệu . + shop diện tích m2 3x6 mặt bằng tầng thích hợp sử dụng vp làm việc trang bị sẵn bàn ghế vp tiện ích . giá thuê triệu . thông tin dự án khu dân cư jamona city . * dự án jamona city . * vị trí đào trí phú thuận quận tp hồ chí minh . * chủ đầu tư ttc land . * loại hình sản phẩm căn hộ chung cư . * tổng diện tích 106,000 . * mật độ xây dựng . * vốn đầu tư 9,864 . 6 tỷ . * quy mô tòa tháp căn hộ tầng . * số lượng sản phẩm 1,497 căn hộ shophouse . * diện tích căn hộ m2 . * số dân cư 4,951 . jamona city quần thể kiến trúc đồng bộ hài hòa bao gồm biệt thự song lập diện tích m2 m2 . 179 liên kế liên kế vườn liên kế phố diện tích m2 m2 . khu sky villas bao gồm căn hộ biệt thự diện tích m2 m2 . khu căn hộ hiện đại tiện nghi đa dạng diện tích tòa căn hộ tầng . lh gặp mr. trung lê chính chủ hotline bđs leo","['cho thuê', 'shophouse', 'm2', '. 1.04 jamona city', 'đường', 'đào trí', 'p.', 'phú thuận', 'quận']",https://batdongsan.vn/cho-thue-shophouse-m2104-jamona-city-duong-dao-tri-p-phu-thuan-quan-7-r74236,"['jamona', 'hộ', 'city', 'tích', 'diện', 'vp', 'đào', 'cư', 'phú', 'shop']","['jamona city', 'liên kế', 'trí phú', 'phẩm hộ', 'shop diện', 'cư jamona', 'phú thuận', 'đào trí', 'diện tích', 'mặt tầng']","['tích mặt tầng', 'đào trí phú', 'trí phú thuận', 'dân cư jamona', 'sản phẩm hộ', 'cư jamona city', 'shop diện tích', 'diện tích khu', 'diện tích mặt', 'đồng hài hòa']"
343,"
														25 triệu														/tháng													",90.0,,1.0," Dự án Tây Hà Tower, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội.",,74244.0, 00:19 08/03/2022,tầng khu đông dân cư văn phòng giáp,"['cho thuê', 'mb', 'm2', 'chân đế', 'chung cư']",https://batdongsan.vn/cho-thue-mb-90m2-chan-de-chung-cu-r74244,"['giáp', 'đông', 'dân', 'cư', 'văn', 'tầng', 'phòng', 'khu']","['phòng giáp', 'khu đông', 'cư văn', 'tầng khu', 'đông dân', 'dân cư', 'văn phòng']","['văn phòng giáp', 'tầng khu đông', 'cư văn phòng', 'khu đông dân', 'dân cư văn', 'đông dân cư']"
609,"
														8 triệu														/tháng													",60.0,,," Dự án KĐT Vạn Phúc City, Đường Quốc Lộ 13, Phường Hiệp Bình Phước, Thủ Đức, Hồ Chí Minh",,76373.0, 00:19 09/03/2022,cho thuê văn phòng khu đô thị vạn phúc city vạn phúc riverside city thủ đức . nhà trống mặt bằng tầng thuê văn phòng kinh doanh diện tích 5x12 tầng hầm xe thang máy máy lạnh . - tiện ích xung quanh có công viên hồ bơi bệnh viện trường học quảng trường nhạc khu vực đông dân cư an ninh camera giám sát chốt chặn bảo vệ giá thuê triệu . * ngoài ra thuê một số văn phòng 1 . tầng phòng m2 triệu th phòng m2 triệu hầm thang máy . tầng diện tích sàn 5x15 10 triệu th tầng hầm thang máy tầng diện tích sàn 7x12 triệu th tầng hầm thang máy . tầng diện tích sàn 6x12 triệu th tầng hầm thang máy mặt tiền shophouse nguyễn thị nhung tầng diện tích sàn 7x20 triệu th thang máy . anh quan tâm liên hệ nhật,"['văn phòng', 'tầng', '5x12', 'sàn', 'triệu', 'tầng hầm', 'xe', 'miễn phí', 'lh', 'nhật']",https://batdongsan.vn/van-phong-tang-tret-5x12m-san-chi-8-trieu-co-tang-ham-de-xe-mien-phi-lh-nhat-0966222080-r76373,"['tầng', 'th', 'thang', 'máy', 'triệu', 'hầm', 'sàn', 'vạn', 'phúc', 'phòng']","['sàn triệu', 'hầm thang', 'triệu th', 'th tầng', 'thang máy', 'tầng diện', 'máy tầng', 'tích sàn', 'tầng hầm', 'phòng triệu']","['tích sàn triệu', 'sàn triệu th', 'hầm thang máy', 'th tầng hầm', 'máy tầng diện', 'tầng hầm thang', 'triệu th tầng', 'thang máy tầng', 'tầng diện tích', 'diện tích sàn']"
